time(s),preprocessor,alamAPI_API,alamAPI_DB
0,0.01,0.17,0.23
1,0.01,0.15,0.2
2,0.01,0.17,0.19
3,0.0,0.16,0.21
4,0.01,0.23,0.26
5,0.01,0.17,0.22
6,0.01,0.19,0.16
7,0.01,0.16,0.21
8,0.01,0.17,0.24
9,0.01,0.21,0.25
10,0.01,0.16,0.22
11,0.01,0.17,0.18
12,0.01,0.16,0.22
13,0.01,0.17,0.23
14,0.01,0.24,0.29
15,0.01,0.16,0.23
16,0.01,0.18,0.23
17,0.01,0.17,0.24
18,0.01,0.17,0.23
19,0.01,0.23,0.69
20,0.01,0.17,0.18
21,0.01,0.16,0.25
22,0.01,0.15,0.26
23,0.01,0.15,0.22
24,0.01,0.23,0.68
25,0.01,0.15,0.22
26,0.01,0.17,0.22
27,0.01,0.18,0.24
28,0.01,0.15,0.19
29,0.01,0.16,0.68
30,0.01,0.15,0.21
31,0.01,0.16,0.24
32,0.01,0.17,0.2
33,0.01,0.16,0.2
34,0.01,0.17,0.54
35,0.01,0.15,0.22
36,0.01,0.17,0.22
37,0.01,0.17,0.18
38,0.01,0.15,0.17
39,0.01,0.13,0.47
40,0.01,0.15,0.18
41,0.01,0.15,0.24
42,0.02,0.17,0.19
43,0.01,0.17,0.18
44,0.0,0.17,0.5
45,0.01,0.16,0.24
46,0.01,0.16,0.23
47,0.01,0.16,0.23
48,0.01,0.17,0.19
49,0.0,0.15,0.41
50,0.01,0.17,0.22
51,0.01,0.16,0.24
52,0.0,0.17,0.21
53,0.01,0.18,0.19
54,0.01,0.16,0.46
55,0.01,0.17,0.23
56,0.01,0.15,0.23
57,0.01,0.16,0.21
58,0.01,0.15,0.16
59,0.01,0.18,0.45
60,0.01,0.15,0.21
61,0.01,0.14,0.22
62,0.01,0.14,0.22
63,0.01,0.22,0.18
64,0.01,0.17,0.25
65,0.01,0.15,0.2
66,0.01,0.18,0.23
67,0.01,0.18,0.23
68,0.01,0.22,0.24
69,0.01,0.19,0.23
70,0.01,0.15,0.19
71,0.01,0.16,0.23
72,0.01,0.14,0.17
73,0.01,0.24,0.24
74,0.01,0.16,0.17
75,0.01,0.19,0.23
76,0.01,0.16,0.22
77,0.01,0.14,0.22
78,0.01,0.23,0.26
79,0.01,0.17,0.21
80,0.01,0.16,0.17
81,0.01,0.16,0.22
82,0.01,0.16,0.18
83,0.01,0.23,0.22
