time(s),preprocessor,alamAPI_API,alamAPI_DB
0,356.7,45.7,0.1552734375
1,356.7,45.7,0.1552734375
2,356.7,45.7,0.1552734375
3,356.7,45.7,0.1552734375
4,356.7,45.7,0.1552734375
5,356.7,45.7,0.1552734375
6,356.7,45.7,0.1552734375
7,356.7,45.7,0.1552734375
8,356.7,45.7,0.1552734375
9,356.7,45.7,0.1552734375
10,356.7,45.7,0.1552734375
11,356.7,45.7,0.1552734375
12,356.7,45.7,0.1552734375
13,356.7,45.7,0.1552734375
14,356.7,45.7,0.1552734375
15,356.7,45.7,0.1552734375
16,356.7,45.7,0.1552734375
17,356.7,45.7,159.2
18,356.7,45.7,0.1552734375
19,356.7,45.7,159.2
20,356.7,45.7,159.1
21,356.7,45.7,159.2
22,356.7,45.7,159.1
23,356.7,45.7,159.1
24,356.7,45.71,159.1
25,356.7,45.71,159.1
26,356.7,45.71,159.1
27,356.7,45.71,159.1
28,356.7,45.71,159.1
29,356.7,45.71,159.1
30,356.7,45.71,159.1
31,356.7,45.71,159.1
32,356.7,45.71,159.1
33,356.7,45.71,159.1
34,356.7,45.71,159.1
35,356.7,45.71,159.1
36,356.7,45.71,159.1
37,356.7,45.71,159.1
38,356.7,45.71,159.1
39,356.7,45.71,159.1
40,356.7,45.71,159.1
41,356.7,45.71,159.1
42,356.7,45.71,159.1
43,356.7,45.71,159.1
44,356.7,45.71,159.1
45,356.7,45.71,159.1
46,356.7,45.71,159.1
47,356.7,45.71,159.1
48,356.7,45.71,159.2
49,356.7,45.71,159.1
50,356.7,45.71,159.1
51,356.7,45.71,159.1
52,356.7,45.71,159.1
53,356.7,45.71,159.1
54,356.7,45.71,159.1
55,356.7,45.71,159.1
56,356.7,45.71,159.2
57,356.7,45.71,159.1
58,356.7,45.71,159.1
59,356.7,45.71,159.1
60,356.7,45.71,159.2
61,356.7,45.71,159.1
62,356.7,45.71,159.1
63,356.7,45.71,159.1
64,356.7,45.71,159.1
65,356.7,45.71,159.1
66,356.7,45.71,159.1
67,356.7,45.71,159.1
68,356.7,45.71,159.1
69,356.7,45.71,159.1
70,356.7,45.71,159.1
71,356.7,45.71,159.1
72,356.7,45.71,159.1
73,356.7,45.71,159.1
74,356.7,45.71,159.1
75,356.7,45.71,159.1
76,356.7,45.71,159.1
77,356.7,45.71,159.1
78,356.7,45.71,159.1
79,356.7,45.71,159.1
80,356.7,45.71,159.2
81,356.7,45.71,159.1
82,356.7,45.71,159.1
83,356.7,45.71,159.1
84,356.7,45.71,159.1
85,356.7,45.71,159.1
86,356.7,45.71,159.1
87,356.7,45.71,159.1
88,356.7,45.71,159.1
89,356.7,45.71,159.1
90,356.7,45.71,159.1
91,356.7,45.71,159.2
92,356.7,45.71,159.1
93,356.7,45.71,159.1
94,356.7,45.71,159.1
95,356.7,45.71,159.1
96,356.7,45.71,159.1
97,356.7,45.71,159.1
98,356.7,45.71,159.1
99,356.7,45.71,159.1
100,356.7,45.71,159.1
101,356.7,45.71,159.1
102,356.7,45.71,159.1
103,356.7,45.71,159.1
104,356.7,45.71,159.1
105,356.7,45.71,159.1
106,356.7,45.71,159.1
107,356.7,45.71,159.1
108,356.7,45.71,159.1
109,356.7,45.71,159.1
110,356.7,45.71,159.2
111,356.7,45.71,159.1
112,356.7,45.71,159.1
113,356.7,45.71,159.1
114,356.7,45.71,159.1
115,356.7,45.71,159.1
116,356.7,45.71,159.1
117,356.7,45.71,159.1
118,356.7,45.71,159.1
119,356.7,45.71,159.1
120,356.7,45.71,159.1
121,356.7,45.71,159.1
122,356.7,45.71,159.1
123,356.7,45.71,159.1
124,356.7,45.71,159.1
125,356.7,45.71,159.1
126,356.7,45.71,159.1
127,356.7,45.71,159.1
128,356.7,45.71,159.1
129,356.7,45.71,159.1
130,356.7,45.71,159.1
131,356.7,45.71,159.1
132,356.7,45.71,159.1
133,356.7,45.71,159.1
134,356.7,45.71,159.1
135,356.7,45.71,159.1
136,356.7,45.71,159.1
137,356.7,45.71,159.1
138,356.7,45.71,159.1
139,356.7,45.71,159.1
140,356.7,45.71,159.1
141,356.7,45.71,159.1
142,356.7,45.71,159.1
143,356.7,45.71,159.1
144,356.7,45.71,159.1
145,356.7,45.71,159.1
146,356.7,45.71,159.1
147,356.7,45.71,159.1
148,356.7,45.71,159.2
149,356.7,45.71,159.1
150,356.7,45.71,159.2
151,356.7,45.71,159.1
152,356.7,45.71,159.1
153,356.7,45.71,159.1
154,356.7,45.71,159.1
155,356.7,45.71,159.1
156,356.7,45.71,159.1
157,356.7,45.71,159.1
158,356.7,45.71,159.1
159,356.7,45.71,159.1
160,356.7,45.71,159.1
161,356.7,45.71,159.1
162,356.7,45.71,159.1
163,356.7,45.71,159.1
164,356.7,45.71,159.1
165,356.7,45.71,159.1
166,356.7,45.71,159.1
167,356.7,45.71,159.1
168,356.7,45.71,161.1
169,356.7,45.71,161.1
170,356.7,45.71,161.1
171,356.7,45.71,161.1
172,356.7,45.71,161.1
173,356.7,45.71,161.1
174,356.7,45.71,161.1
175,356.7,45.71,161.1
176,356.7,45.71,161.1
177,356.7,45.71,161.2
178,356.7,45.71,161.1
179,356.7,45.71,161.1
180,356.7,45.71,161.1
181,356.7,45.71,161.1
182,356.7,45.71,161.1
183,356.7,45.71,161.1
184,356.7,45.71,161.1
185,356.7,45.71,161.1
186,356.7,45.71,161.1
187,356.7,45.71,161.1
188,356.7,45.71,161.1
189,356.7,45.71,161.1
190,356.7,45.71,161.1
191,356.7,45.71,161.1
192,356.7,45.71,161.2
193,356.7,45.71,161.2
194,356.7,45.71,161.1
195,356.7,45.71,161.1
196,356.7,45.71,161.1
197,356.7,45.71,161.1
198,356.7,45.71,161.1
199,356.7,45.71,161.1
200,356.7,45.71,161.1
201,356.7,45.71,161.1
202,356.7,45.71,161.1
203,356.7,45.71,161.1
204,356.7,45.71,161.1
205,356.7,45.71,161.1
