time(s),preprocessor,alamAPI_API,alamAPI_DB
0,0.03,0.2,0.19
1,0.03,0.14,0.24
2,0.02,0.14,0.19
3,0.04,0.21,0.21
4,0.35,0.29,0.37
5,0.03,0.2,0.23
6,0.03,0.22,0.44
7,0.03,0.19,0.27
8,0.03,0.26,0.25
9,0.03,0.23,1.04
10,0.04,0.22,0.2
11,0.03,0.18,0.41
12,0.19,0.16,0.2
13,0.03,0.19,0.29
14,0.03,0.16,0.21
15,0.1,0.21,0.47
16,0.03,0.21,0.4
17,0.03,0.16,0.19
18,0.12,0.24,0.28
19,0.04,0.21,0.29
20,0.05,0.23,1.3
21,0.07,0.26,0.25
22,0.06,0.3,0.3
23,0.04,0.26,0.44
24,0.04,0.21,0.29
25,0.03,0.2,0.25
26,0.02,0.14,0.2
27,0.02,0.15,0.25
28,0.02,0.14,0.23
29,0.04,0.24,0.34
30,0.04,0.2,0.37
31,0.04,0.29,0.21
32,0.02,0.15,0.16
33,0.05,0.24,0.32
34,0.02,0.17,0.6
35,0.03,0.19,0.25
36,0.03,0.17,0.38
37,0.06,0.13,0.24
38,0.03,0.15,0.16
39,0.02,0.15,0.46
40,0.03,0.16,0.18
41,0.02,0.12,0.19
42,0.03,0.18,0.53
43,0.03,0.14,0.18
44,0.03,0.13,0.16
45,0.02,0.13,0.2
46,0.03,0.18,0.2
47,0.03,0.3,0.17
48,0.09,0.13,0.16
49,0.02,0.15,0.19
50,0.02,0.13,0.21
51,0.09,0.16,0.19
52,0.03,0.14,0.33
53,0.04,0.24,0.5
54,0.03,0.18,0.19
55,0.03,0.17,0.31
56,0.06,0.12,0.2
57,0.03,0.17,0.21
58,0.04,0.16,0.2
59,0.06,0.14,0.16
60,0.03,0.15,0.2
61,0.03,0.16,0.29
62,0.02,0.18,0.23
63,0.03,0.13,0.19
64,0.02,0.13,0.22
65,0.03,0.15,0.26
66,0.02,0.14,0.19
67,0.05,0.15,0.2
68,0.04,0.16,0.18
69,0.02,0.2,1.57
70,0.02,0.15,0.2
71,0.03,0.13,0.19
72,0.03,0.2,0.57
73,0.03,0.17,0.19
74,0.02,0.15,0.19
75,0.08,0.14,0.25
76,0.03,0.15,0.17
77,0.03,0.14,0.34
78,0.11,0.13,0.18
79,0.03,0.14,0.17
80,0.02,0.24,0.22
81,0.02,0.15,0.18
82,0.03,0.14,0.18
83,0.03,0.17,0.29
84,0.03,0.15,0.2
85,0.03,0.16,0.2
86,0.07,0.15,0.2
87,0.03,0.15,0.2
88,0.02,0.12,0.17
89,0.02,0.13,0.2
90,0.03,0.2,0.18
91,0.03,0.2,0.57
92,0.02,0.13,0.19
93,0.02,0.13,0.19
94,0.02,0.13,0.19
95,0.04,0.14,0.17
96,0.02,0.15,0.46
97,0.05,0.14,0.18
98,0.02,0.12,0.16
99,0.02,0.17,0.54
100,0.02,0.14,0.2
101,0.02,0.13,0.15
102,0.02,0.17,0.15
103,0.02,0.12,0.18
104,0.02,0.12,0.16
105,0.05,0.12,0.17
106,0.03,0.12,0.15
107,0.02,0.14,0.16
108,0.04,0.13,0.18
109,0.03,0.12,0.2
110,0.02,0.18,0.46
111,0.02,0.15,0.16
112,0.02,0.11,0.14
113,0.02,0.12,0.22
114,0.03,0.14,0.17
115,0.03,0.14,0.23
116,0.07,0.13,0.42
117,0.02,0.13,0.22
118,0.02,0.14,0.18
119,0.05,0.18,0.2
120,0.02,0.11,0.16
121,0.02,0.18,0.24
122,0.02,0.14,0.16
123,0.02,0.12,0.15
124,0.08,0.13,0.19
125,0.03,0.16,0.16
126,0.02,0.13,0.17
127,0.02,0.12,0.18
128,0.02,0.13,0.16
129,0.02,0.18,0.47
130,0.02,0.15,0.33
131,0.02,0.13,0.36
132,0.03,0.18,0.19
133,0.02,0.14,0.2
134,0.02,0.12,0.16
135,0.07,0.15,0.2
136,0.02,0.14,0.16
137,0.02,0.12,0.48
138,0.02,0.18,0.16
139,0.02,0.15,0.17
140,0.03,0.17,0.17
141,0.02,0.16,0.16
142,0.02,0.12,0.15
143,0.06,0.14,0.2
144,0.03,0.22,0.34
145,0.04,0.22,0.28
146,0.09,0.2,0.33
147,0.03,0.24,0.26
148,0.04,0.18,0.29
149,0.03,0.17,0.28
150,0.05,0.25,0.3
151,0.04,0.25,0.25
152,0.05,0.15,0.21
153,0.03,0.18,0.37
154,0.05,0.36,0.47
155,0.03,0.25,0.27
156,0.05,0.27,0.61
157,0.04,0.2,0.31
158,0.04,0.29,0.45
159,0.03,0.16,0.17
160,0.02,0.13,0.36
161,0.05,0.29,0.53
162,0.1,0.29,0.28
163,0.04,0.21,0.22
164,0.02,0.17,0.49
165,0.05,0.24,0.5
166,0.04,0.24,0.3
167,0.03,0.22,1.18
168,0.06,0.21,0.36
169,0.05,0.28,0.25
170,0.04,0.26,0.25
171,0.04,0.2,0.41
172,0.03,0.16,0.49
173,0.04,0.27,0.53
174,0.04,0.27,0.24
175,0.04,0.28,1.39
176,0.03,0.27,0.26
177,0.05,0.31,0.4
178,0.03,0.25,0.27
179,0.03,0.2,0.47
180,0.03,0.13,0.23
181,0.07,0.15,0.22
182,0.05,0.27,0.26
183,0.04,0.25,0.67
184,0.05,0.24,0.23
185,0.06,0.23,0.45
186,0.04,0.28,0.26
187,0.05,0.28,0.31
188,0.05,0.27,0.42
189,0.07,0.16,0.47
190,0.03,0.22,0.25
191,0.02,0.21,0.53
192,0.04,0.27,0.47
193,0.03,0.2,0.3
194,0.05,0.33,0.37
195,0.07,0.28,0.51
196,0.03,0.15,0.22
197,0.03,0.17,0.25
198,0.03,0.2,0.19
199,0.03,0.2,1.03
200,0.03,0.25,0.2
201,0.04,0.21,0.26
202,0.03,0.22,0.3
203,0.03,0.14,0.31
204,0.05,0.23,0.48
205,0.03,0.24,0.48
206,0.04,0.28,0.52
207,0.04,0.16,0.29
208,0.14,0.23,0.32
209,0.05,0.22,0.27
210,0.05,0.24,0.22
211,0.16,0.14,0.22
212,0.04,0.26,0.34
213,0.03,0.2,0.21
214,0.04,0.15,0.2
215,0.06,0.29,0.48
216,0.05,0.29,0.52
217,0.05,0.23,0.68
218,0.04,0.21,0.75
219,0.06,0.29,0.52
220,0.05,0.28,0.32
221,0.04,0.3,1.22
222,0.04,0.26,0.44
223,0.06,0.29,0.45
224,0.17,0.26,0.26
225,0.02,0.18,0.21
226,0.05,0.24,0.48
227,0.04,0.26,0.53
228,0.03,0.21,0.26
229,0.02,0.21,1.5
230,0.05,0.24,0.68
231,0.04,0.21,0.23
232,0.03,0.27,0.4
233,0.03,0.21,0.24
234,0.04,0.21,0.23
235,0.04,0.22,0.26
236,0.03,0.2,0.27
237,0.03,0.32,0.26
238,0.04,0.14,0.25
239,0.04,0.21,0.34
240,0.03,0.33,0.24
241,0.05,0.23,0.42
242,0.03,0.17,0.27
243,0.11,0.21,0.22
244,0.04,0.24,0.44
245,0.04,0.24,1.16
246,0.03,0.17,0.26
247,0.04,0.23,0.46
248,0.02,0.29,0.51
249,0.04,0.25,0.33
250,0.05,0.27,0.47
251,0.14,0.18,0.25
252,0.03,0.31,0.46
253,0.05,0.23,0.28
254,0.05,0.21,0.27
255,0.05,0.26,0.23
256,0.05,0.41,0.25
257,0.02,0.21,0.37
258,0.03,0.22,0.46
259,0.03,0.19,0.49
260,0.04,0.15,0.23
261,0.07,0.23,0.26
262,0.07,0.19,0.21
263,0.05,0.26,0.28
264,0.02,0.23,1.22
265,0.02,0.14,0.26
266,0.03,0.19,0.26
267,0.06,0.22,0.47
268,0.05,0.24,0.47
269,0.03,0.22,1.64
270,0.05,0.26,0.44
271,0.06,0.25,0.48
272,0.05,0.36,0.34
273,0.03,0.16,0.4
274,0.05,0.34,0.25
275,0.04,0.22,0.4
276,0.03,0.21,0.23
277,0.05,0.28,0.37
278,0.09,0.2,0.46
279,0.05,0.25,0.33
280,0.03,0.25,0.38
281,0.04,0.21,0.25
282,0.04,0.3,0.24
283,0.04,0.23,0.29
284,0.02,0.24,0.26
285,0.03,0.23,0.49
286,0.05,0.31,0.52
287,0.05,0.18,0.26
288,0.03,0.21,0.39
289,0.05,0.24,0.48
290,0.04,0.23,0.36
291,0.04,0.18,0.17
292,0.05,0.21,0.24
293,0.05,0.29,0.55
294,0.14,0.22,0.24
295,0.06,0.21,0.29
296,0.03,0.23,1.57
297,0.04,0.22,0.23
298,0.03,0.19,0.48
299,0.04,0.39,1.64
300,0.05,0.19,0.48
301,0.03,0.25,0.31
302,0.05,0.34,0.45
303,0.05,0.29,0.21
304,0.02,0.19,0.41
305,0.03,0.15,0.23
306,0.06,0.34,0.37
307,0.05,0.23,1.75
308,0.02,0.18,0.34
309,0.03,0.25,0.47
310,0.05,0.41,0.43
311,0.03,0.19,0.56
312,0.04,0.23,0.43
313,0.19,0.3,0.5
314,0.04,0.25,0.25
315,0.05,0.31,0.39
316,0.03,0.26,0.21
317,0.04,0.32,0.5
318,0.05,0.17,0.62
319,0.04,0.22,0.49
320,0.03,0.21,0.39
321,0.04,0.2,0.52
322,0.04,0.29,0.25
323,0.03,0.23,1.12
324,0.18,0.21,0.45
325,0.04,0.25,0.46
326,0.04,0.34,0.52
327,0.03,0.2,0.19
328,0.05,0.25,0.42
329,0.05,0.24,0.35
330,0.04,0.2,0.34
331,0.03,0.21,0.24
332,0.03,0.23,0.62
333,0.03,0.23,0.21
334,0.03,0.27,0.67
335,0.03,0.24,0.51
336,0.06,0.29,0.18
337,0.04,0.21,0.35
338,0.03,0.15,0.31
339,0.03,0.25,0.5
340,0.18,0.3,0.47
341,0.04,0.23,0.28
342,0.03,0.19,0.26
343,0.11,0.21,0.34
344,0.08,0.32,0.25
345,0.03,0.24,0.31
346,0.06,0.24,0.45
347,0.05,0.22,0.34
348,0.18,0.23,0.26
349,0.05,0.19,0.24
350,0.05,0.17,0.31
351,0.1,0.21,0.28
352,0.04,0.28,0.43
353,0.06,0.33,0.24
354,0.05,0.26,0.53
355,0.03,0.19,0.28
356,0.03,0.2,0.27
357,0.04,0.21,0.27
358,0.05,0.23,0.24
359,0.03,0.21,0.41
360,0.04,0.25,0.2
361,0.04,0.33,0.37
362,0.05,0.24,0.21
363,0.02,0.14,0.43
364,0.12,0.25,0.49
365,0.04,0.31,0.48
366,0.02,0.15,0.55
367,0.03,0.19,0.5
368,0.04,0.33,0.38
369,0.04,0.23,0.31
370,0.05,0.22,0.25
371,0.03,0.16,0.48
372,0.23,0.32,0.48
373,0.02,0.28,0.21
374,0.05,0.24,0.42
375,0.05,0.27,0.26
376,0.03,0.19,0.36
377,0.06,0.35,1.73
378,0.04,0.17,0.45
