time(s),preprocessor,alamAPI_API,alamAPI_DB
0,56.15,30.49,144.3
1,56.15,30.49,144.3
2,56.15,30.49,144.3
3,56.15,30.49,144.3
4,56.15,30.49,144.3
5,56.15,30.49,144.4
6,56.15,30.49,144.3
7,56.15,30.49,144.3
8,56.16,30.49,144.3
9,56.16,30.49,144.3
10,56.16,30.49,144.3
11,56.16,30.49,144.3
12,56.16,30.49,144.3
13,56.16,30.49,146.3
14,56.16,30.49,146.3
15,56.16,30.49,146.3
16,56.16,30.49,146.3
17,56.16,30.49,146.4
18,56.16,30.49,146.3
19,56.16,30.49,146.3
20,56.16,30.49,146.4
21,56.16,30.49,146.3
22,56.16,30.49,146.3
23,56.16,30.49,146.3
24,56.16,30.49,146.3
25,56.16,30.49,146.3
26,56.16,30.49,146.3
27,56.16,30.49,146.3
28,56.16,30.49,146.3
29,56.16,30.49,146.3
30,56.16,30.49,146.3
31,56.16,30.49,146.3
32,56.16,30.49,146.3
33,56.16,30.49,146.3
34,56.16,30.49,146.3
35,56.16,30.49,146.3
36,56.16,30.49,146.3
37,56.16,30.49,146.3
38,56.16,30.49,146.4
39,56.16,30.49,146.4
40,56.16,30.49,146.3
41,56.16,30.49,146.3
42,56.16,30.49,146.4
43,56.16,30.49,146.3
44,56.16,30.49,146.3
45,56.16,30.49,146.4
46,56.16,30.49,146.3
47,56.16,30.49,146.3
48,56.16,30.49,146.3
49,56.16,30.49,146.3
50,56.16,30.49,146.3
51,56.16,30.49,146.3
52,56.16,30.49,146.3
53,56.16,30.49,146.3
54,56.16,30.49,146.3
55,56.16,30.49,146.3
56,56.16,30.49,146.3
57,56.16,30.49,146.3
58,56.16,30.49,146.3
59,56.16,30.49,146.3
60,56.16,30.49,146.4
61,56.16,30.49,146.3
62,56.16,30.49,146.3
63,56.16,30.49,146.3
64,56.16,30.49,146.3
65,56.16,30.49,146.3
66,56.16,30.49,146.3
67,56.17,30.49,146.3
68,56.17,30.49,146.3
69,56.17,30.49,146.3
70,56.17,30.49,146.3
71,56.17,30.49,146.4
72,56.17,30.49,146.4
73,56.17,30.49,146.3
74,56.17,30.49,146.3
75,56.17,30.49,146.3
76,56.17,30.49,146.4
77,56.17,30.49,146.3
78,56.17,30.49,146.3
79,56.17,30.49,146.3
80,56.17,30.49,146.3
81,56.17,30.49,146.4
82,56.17,30.49,146.4
83,56.17,30.49,146.3
84,56.17,30.49,146.3
85,56.17,30.49,146.4
86,56.17,30.49,146.3
87,56.17,30.49,146.3
88,56.17,30.49,146.3
89,56.17,30.49,146.3
90,56.17,30.49,146.3
91,56.17,30.49,146.3
92,56.17,30.49,146.3
93,56.17,30.49,146.3
94,56.17,30.49,146.3
95,56.17,30.49,146.3
96,56.17,30.49,146.4
97,56.17,30.49,146.3
98,56.17,30.49,146.3
99,56.17,30.49,146.3
100,56.17,30.49,146.4
101,56.17,30.49,146.4
102,56.17,30.49,146.4
103,56.17,30.49,146.3
104,56.17,30.49,146.4
105,56.17,30.49,146.3
106,56.17,30.49,146.3
107,56.17,30.49,146.3
108,56.17,30.49,146.4
109,56.17,30.49,146.3
110,56.17,30.49,146.3
111,56.17,30.49,146.3
112,56.17,30.49,146.3
113,56.17,30.49,146.3
114,56.17,30.49,146.3
115,56.17,30.49,146.3
116,56.17,30.49,146.4
117,56.17,30.49,146.4
118,56.17,30.49,146.3
119,56.17,30.49,146.3
120,56.17,30.49,146.3
121,56.17,30.49,146.4
122,56.17,30.49,146.3
123,56.17,30.49,146.3
124,56.17,30.49,146.3
125,56.17,30.49,146.3
126,56.17,30.49,146.3
127,56.17,30.49,146.3
128,56.17,30.49,146.3
129,56.17,30.49,146.3
130,56.17,30.49,146.4
131,56.17,30.49,146.3
132,56.17,30.49,146.3
133,56.17,30.49,146.4
134,56.17,30.49,146.3
135,56.17,30.49,146.4
136,56.17,30.49,146.3
137,56.17,30.49,146.3
138,56.17,30.49,146.3
139,56.17,30.49,146.3
140,56.17,30.49,146.3
141,56.17,30.49,146.4
142,56.17,30.49,146.3
143,56.17,30.49,146.3
144,56.17,30.49,146.4
145,56.17,30.49,146.4
146,56.17,30.49,146.4
147,56.17,30.49,146.3
148,56.17,30.49,146.3
149,56.17,30.49,146.3
150,56.17,30.49,146.3
151,56.18,30.49,146.3
152,56.18,30.49,146.3
153,56.18,30.49,146.3
154,56.18,30.49,146.3
155,56.18,30.49,146.3
156,56.18,30.49,146.3
157,56.18,30.49,146.3
158,56.18,30.49,146.3
159,56.18,30.49,146.3
160,56.18,30.49,146.3
161,56.18,30.49,146.3
162,56.18,30.49,146.3
163,56.18,30.49,146.3
164,56.18,30.49,146.3
165,56.18,30.49,146.4
166,56.18,30.49,146.3
167,56.18,30.49,146.3
168,56.18,30.49,146.3
169,56.18,30.49,146.4
170,56.18,30.49,146.3
171,56.18,30.49,146.3
172,56.18,30.49,146.3
173,56.18,30.49,146.3
174,56.18,30.49,146.3
175,56.18,30.49,146.3
176,56.18,30.49,146.3
177,56.18,30.49,146.3
178,56.18,30.49,146.4
179,56.18,30.49,146.3
180,56.18,30.49,146.3
181,56.18,30.49,146.3
182,56.18,30.49,146.3
183,56.18,30.49,146.3
184,56.18,30.49,146.3
185,56.18,30.49,146.3
186,56.18,30.49,146.3
187,56.18,30.49,146.3
188,56.18,30.49,146.3
189,56.18,30.49,146.3
190,56.18,30.49,146.3
191,56.18,30.49,146.3
192,56.18,30.49,146.3
193,56.18,30.49,146.3
194,56.18,30.49,146.3
195,56.18,30.49,146.3
196,56.18,30.49,146.4
197,56.18,30.49,146.3
198,56.18,30.49,146.3
199,56.18,30.49,146.3
200,56.18,30.49,146.3
201,56.18,30.49,146.3
202,56.18,30.49,146.3
203,56.18,30.49,146.3
204,56.18,30.49,146.3
205,56.18,30.49,146.3
206,56.18,30.49,146.3
207,56.18,30.49,146.3
208,56.18,30.49,146.3
209,56.18,30.49,146.3
210,56.18,30.49,146.3
211,56.18,30.49,146.3
212,56.18,30.49,146.4
213,56.18,30.49,146.4
214,56.18,30.49,146.3
215,56.18,30.49,146.3
216,56.18,30.49,146.3
217,56.18,30.49,146.3
218,56.18,30.49,146.3
219,56.18,30.49,146.4
220,56.18,30.49,148.3
221,56.18,30.49,148.3
222,56.18,30.49,148.3
223,56.18,30.49,148.3
224,56.18,30.49,148.3
225,56.18,30.49,148.3
226,56.18,30.49,148.4
227,56.18,30.49,148.3
228,56.18,30.49,148.3
229,56.18,30.49,148.3
230,56.18,30.49,148.3
231,56.18,30.49,148.3
232,56.18,30.49,148.3
233,56.18,30.49,148.3
234,56.18,30.49,148.4
235,56.18,30.49,148.3
236,56.18,30.49,148.3
237,56.18,30.49,148.3
238,56.18,30.49,148.4
239,56.18,30.49,148.3
240,56.18,30.49,148.4
241,56.18,30.49,148.3
242,56.18,30.49,148.4
243,56.18,30.49,148.4
244,56.18,30.49,148.3
245,56.18,30.49,148.3
246,56.18,30.49,148.3
247,56.18,30.49,148.3
248,56.18,30.49,148.3
249,56.18,30.49,148.3
250,56.18,30.49,148.3
251,56.18,30.49,148.3
252,56.18,30.49,148.3
253,56.18,30.49,148.4
254,56.18,30.49,148.4
255,56.18,30.49,148.3
256,56.18,30.49,148.3
257,56.18,30.49,148.3
258,56.18,30.49,148.3
259,56.18,30.49,148.4
260,56.18,30.49,148.3
261,56.18,30.49,148.3
262,56.18,30.49,148.4
263,56.18,30.49,148.3
264,56.18,30.49,148.3
265,56.18,30.49,148.3
266,56.18,30.49,148.3
267,56.18,30.49,148.3
268,56.18,30.49,148.3
269,56.18,30.49,148.3
270,56.18,30.49,148.4
271,56.18,30.49,148.3
272,56.18,30.49,148.3
273,56.18,30.49,148.3
274,56.18,30.49,148.3
275,56.18,30.49,148.3
276,56.18,30.49,148.3
277,56.18,30.49,148.3
278,56.18,30.49,148.3
279,56.18,30.49,148.3
280,56.18,30.49,148.3
281,56.18,30.49,148.3
282,56.18,30.49,148.3
283,56.18,30.49,148.3
284,56.18,30.49,148.4
285,56.18,30.49,148.4
286,56.18,30.49,148.3
287,56.18,30.49,148.3
288,56.18,30.49,148.3
289,56.18,30.49,148.3
290,56.18,30.49,148.4
291,56.18,30.49,148.3
292,56.18,30.49,148.3
293,56.18,30.49,148.3
294,56.18,30.49,148.3
295,56.18,30.49,148.3
296,56.18,30.49,148.3
297,56.18,30.49,148.3
298,56.18,30.49,148.3
299,56.18,30.49,148.4
300,56.18,30.49,148.3
301,56.18,30.49,148.4
302,56.18,30.49,148.3
303,56.18,30.49,148.3
304,56.18,30.49,148.3
305,56.18,30.49,148.3
306,56.18,30.49,148.3
307,56.18,30.49,148.3
308,56.18,30.49,148.3
309,56.18,30.49,148.3
310,56.18,30.49,148.4
311,56.18,30.49,148.3
312,56.18,30.49,148.3
313,56.18,30.49,148.3
314,56.18,30.49,148.3
315,56.18,30.49,148.3
316,56.18,30.49,148.3
317,56.18,30.49,148.3
318,56.18,30.49,148.3
319,56.18,30.49,148.3
320,56.18,30.49,148.3
321,56.18,30.49,148.3
322,56.18,30.49,148.3
323,56.18,30.49,148.3
324,56.18,30.49,148.3
325,56.18,30.49,148.3
326,56.18,30.49,148.4
327,56.18,30.49,148.3
328,56.18,30.49,148.3
329,56.18,30.49,148.3
330,56.18,30.49,148.4
331,56.18,30.49,148.3
332,56.18,30.49,148.3
333,56.18,30.49,148.3
334,56.18,30.49,148.3
335,56.18,30.49,148.3
336,56.18,30.49,148.3
337,56.18,30.49,148.3
338,56.18,30.49,148.3
339,56.18,30.49,148.4
340,56.18,30.49,148.3
341,56.18,30.49,148.3
342,56.18,30.49,148.3
343,56.18,30.49,148.3
344,56.18,30.49,148.3
345,56.18,30.49,148.4
346,56.18,30.49,148.3
347,56.18,30.49,148.3
348,56.18,30.49,148.3
349,56.19,30.49,148.3
350,56.19,30.49,148.3
351,56.19,30.49,148.3
352,56.19,30.49,148.3
353,56.19,30.49,148.3
354,56.19,30.49,148.3
355,56.19,30.49,148.3
356,56.19,30.49,148.3
357,56.19,30.49,148.3
358,56.19,30.49,148.3
359,56.19,30.49,148.3
360,56.19,30.49,148.3
361,56.19,30.49,148.3
362,56.19,30.49,148.3
363,56.19,30.49,148.3
364,56.19,30.49,148.3
365,56.19,30.49,148.3
366,56.19,30.49,148.3
367,56.19,30.49,148.3
368,56.19,30.49,148.3
369,56.19,30.49,148.3
370,56.19,30.49,148.3
371,56.19,30.49,148.3
372,56.19,30.49,148.3
373,56.19,30.49,148.3
374,56.19,30.49,148.3
375,56.19,30.49,148.3
376,56.19,30.49,148.3
377,56.19,30.49,148.3
378,56.19,30.49,148.3
379,56.19,30.49,148.3
380,56.19,30.49,148.3
381,56.19,30.49,148.3
382,56.19,30.49,148.3
383,56.19,30.49,148.3
384,56.19,30.49,148.3
385,56.19,30.49,148.3
386,56.19,30.49,148.4
387,56.19,30.49,148.3
388,56.19,30.49,148.3
389,56.19,30.49,148.4
390,56.19,30.49,148.3
391,56.19,30.49,148.3
392,56.19,30.49,148.3
393,56.19,30.49,148.3
394,56.19,30.49,148.3
395,56.19,30.49,148.3
396,56.19,30.49,148.3
397,56.19,30.49,148.3
398,56.19,30.49,148.4
399,56.19,30.49,148.3
400,56.19,30.49,148.3
401,56.19,30.49,148.4
402,56.19,30.49,148.3
403,56.19,30.49,148.3
404,56.19,30.49,148.3
405,56.19,30.49,148.4
406,56.19,30.49,148.4
407,56.19,30.49,148.4
408,56.19,30.49,148.4
409,56.19,30.49,148.3
410,56.19,30.49,148.3
411,56.19,30.49,148.3
412,56.19,30.49,148.3
413,56.19,30.49,148.3
414,56.19,30.49,148.3
415,56.19,30.49,148.3
416,56.19,30.49,148.3
417,56.19,30.49,148.4
418,56.19,30.49,148.4
419,56.19,30.49,148.4
420,56.19,30.49,148.3
421,56.19,30.49,148.4
422,56.19,30.49,148.4
423,56.19,30.49,148.3
424,56.19,30.49,148.3
425,56.19,30.49,148.3
426,56.19,30.49,148.3
427,56.19,30.49,148.3
428,56.19,30.49,148.3
429,56.19,30.49,148.3
430,56.19,30.49,148.3
431,56.19,30.49,148.3
432,56.19,30.49,148.3
433,56.19,30.49,148.3
434,56.19,30.49,148.3
435,56.19,30.49,148.4
436,56.19,30.49,148.3
437,56.19,30.49,148.3
438,56.19,30.49,148.3
439,56.19,30.49,148.3
440,56.19,30.49,148.3
441,56.19,30.49,148.3
442,56.19,30.49,148.3
443,56.19,30.49,148.3
444,56.19,30.49,148.3
445,56.19,30.49,148.3
446,56.19,30.49,148.3
447,56.19,30.49,148.3
448,56.19,30.49,148.3
449,56.19,30.49,148.3
450,56.19,30.49,148.3
451,56.19,30.49,148.3
452,56.19,30.49,148.3
453,56.19,30.49,148.3
454,56.19,30.49,148.3
455,56.19,30.49,148.4
456,56.19,30.49,148.3
457,56.19,30.49,150.3
458,56.19,30.49,150.4
459,56.19,30.49,150.3
460,56.19,30.49,150.3
461,56.19,30.49,150.3
462,56.19,30.49,150.4
463,56.19,30.49,150.3
464,56.19,30.49,150.3
465,56.19,30.49,150.3
466,56.19,30.49,150.3
467,56.19,30.49,150.3
468,56.19,30.49,150.3
469,56.19,30.49,150.3
470,56.19,30.49,150.3
471,56.19,30.49,150.4
472,56.19,30.49,150.3
473,56.19,30.49,150.3
474,56.19,30.49,150.3
475,56.19,30.49,150.3
476,56.19,30.49,150.4
477,56.19,30.49,150.3
478,56.19,30.49,150.3
479,56.19,30.49,150.3
480,56.19,30.49,150.3
481,56.19,30.49,150.3
482,56.19,30.49,150.3
483,56.19,30.49,150.3
484,56.19,30.49,150.3
485,56.19,30.49,150.3
486,56.19,30.49,150.3
487,56.19,30.49,150.3
488,56.19,30.49,150.3
489,56.19,30.49,150.3
490,56.19,30.49,150.3
491,56.19,30.49,150.3
492,56.19,30.49,150.3
493,56.19,30.49,150.3
494,56.19,30.49,150.4
495,56.19,30.49,150.3
496,56.19,30.49,150.3
497,56.19,30.49,150.4
498,56.19,30.49,150.4
499,56.19,30.49,150.3
500,56.19,30.49,150.3
501,56.19,30.49,150.3
502,56.2,30.49,150.3
503,56.2,30.49,150.3
